date,agreement,type,subject,organizator,comment,place,total,id
25.06.2012,не согласовано,активист,другое,стихийная,одинокий активист,войковская,1,132
25.06.2012,не согласовано,пикет,Pussy Riot,стихийная,окупайсуд,таганский суд,4,133
26.06.2012,не согласовано,активист,другое,стихийная,одинокий активист,,1,134
29.06.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,6,135
01.07.2012,не согласовано,акция,социальная,Левый фронт,журналист,,1,136
04.07.2012,не согласовано,пикет,Pussy Riot,стихийная,pussy riot  ,таганский суд,12,137
06.07.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,2,138
07.07.2012,не согласовано,флеш-моб ,другое,другое,монстрация,,5,139
13.07.2012,согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,8,140
16.07.2012,не согласовано,пикет,антиПутин,стихийная,пикетчик,железнодорожный,1,141
16.07.2012,не согласовано,пикет,политзеки,Левый фронт,оккупайск,,4,142
18.07.2012,не согласовано,пикет,антиПутин,Другая Россия,пикет,,2,143
20.07.2012,не согласовано,пикет,Pussy Riot,стихийная,pussy riot ,,4,144
20.07.2012,не согласовано,пикет,антиПутин,Другая Россия,пикет другоросов,новокузнецкая,11,145
21.07.2012,не согласовано,пикет,антиПутин,стихийная,пикетчик,железнодорожный,1,146
23.07.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,3,147
26.07.2012,согласовано,митинг,политзеки,Комитет 6 мая,,,1,148
31.07.2012,не согласовано,митинг,Стратегия-31,С-31,Стратегия-31,Триумфальная,46,149
02.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,2,150
03.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,10,151
05.08.2012,согласовано,другое,антиПутин,другое,макулатура,,2,152
07.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,1,153
09.08.2012,не согласовано,пикет,политзеки,Левый фронт,оккупайск,,4,154
10.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,1,155
15.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,3,156
17.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,2,157
17.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,94,158
19.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,2,159
23.08.2012,не согласовано,пикет,политзеки,Левый Фронт,оккупайск,,8,160
25.08.2012,не согласовано,пикет,Pussy Riot,стихийная,priot,,6,161
26.08.2012,не согласовано,активист,другое,другое,другоросы,,2,162
30.08.2012,не согласовано,пикет,политзеки,Левый фронт,оккупайск,,2,163
31.08.2012,не согласовано,Стратегия-31,Стратегия-31,С-31,Стратегия-31,Триумфальная,36,164
31.08.2012,не согласовано,Стратегия-31,Стратегия-31,Другая Россия,другоросы,мэрия,6,165
01.09.2012,не согласовано,акция,политзеки,стихийная,балаклав,Арбатская,4,166
01.09.2012,не согласовано,пикет,политзеки,стихийная,Осипова,Смоленская,1,167
02.09.2012,не согласовано,пикет,Pussy Riot,стихийная,оккупайсуд,мосгорсуд,3,168
05.09.2012,не согласовано,акция,экология,Экологи,гринпис,Академическая,10,169
06.09.2012,не согласовано,пикет,политзеки,Левый Фронт,окупайск,,5,170
08.09.2012,не согласовано,акция,политзеки,стихийная,балаклав,Александровский сад,8,171
12.09.2012,не согласовано,пикет,политзеки,Левый Фронт,окупайск,,1,172
13.09.2012,не согласовано,пикет,политзеки,стихийная,Осипова,,2,173
14.09.2012,не согласовано,пикет,политзеки,стихийная,политзеки,МГУ,1,174
15.09.2012,согласовано,марш,марш миллионов,Оргкомитет протестных действий,марш миллионов,,4,175
16.09.2012,не согласовано,пикет,политзеки,стихийная,пикет,Арбат,2,176
16.09.2012,не согласовано,"прогулки, оккупай",другое,стихийная,прогулка,Чистые пруды,23,177
18.09.2012,не согласовано,пикет,политзеки,Другая Россия,Осипова,Арбат,3,178
22.09.2012,не согласовано,акция,политзеки,стихийная,балаклав,Александровский сад,8,179
29.09.2012,не согласовано,акция,политзеки,стихийная,балаклав,Китай-город,5,180
